,product,num_users
0,3544,19
1,5073,43
2,6149,87
3,7863,83
4,14,17
5,10247,2
6,3544,29
7,5073,13
8,6149,80
9,7863,23
10,14,26
11,10247,6
12,3544,15
13,5073,43
14,6149,41
15,7863,12
16,14,58
17,10247,7
18,3544,34
19,5073,45
20,6149,19
21,7863,2
22,14,82
23,10247,23
24,3544,31
25,5073,16
26,6149,53
27,7863,26
28,14,73
29,10247,1
30,3544,66
31,5073,13
32,6149,14
33,7863,3
34,14,33
35,10247,52
36,3544,32
37,5073,53
38,6149,37
39,7863,47
40,14,99
41,10247,89
42,3544,50
43,5073,40
44,6149,17
45,7863,17
46,14,2
47,10247,65
48,3544,19
49,5073,79
50,6149,74
51,7863,42
52,14,48
53,10247,12
54,3544,24
55,5073,24
56,6149,42
57,7863,17
58,14,90
59,10247,6
60,3544,2
61,5073,27
62,6149,3
63,7863,94
64,14,59
65,10247,50
66,3544,51
67,5073,19
68,6149,7
69,7863,2
70,14,51
71,10247,55
72,3544,78
73,5073,42
74,6149,9
75,7863,3
76,14,39
77,10247,27
78,3544,42
79,5073,22
80,6149,38
81,7863,43
82,14,68
83,10247,3
84,3544,24
85,5073,1
86,6149,10
87,7863,3
88,14,82
89,10247,65
90,3544,17
91,5073,2
92,6149,92
93,7863,35
94,14,73
95,10247,18
96,3544,39
97,5073,35
98,6149,33
99,7863,23
100,14,48
101,10247,63
102,3544,63
103,5073,14
104,6149,39
105,7863,47
106,14,13
107,10247,99
108,3544,56
109,5073,22
110,6149,44
111,7863,24
112,14,12
113,10247,4
114,3544,18
115,5073,58
116,6149,81
117,7863,12
118,14,85
119,10247,37
120,3544,96
121,5073,12
122,6149,16
123,7863,1
124,14,65
125,10247,44
126,3544,16
127,5073,7
128,6149,80
129,7863,53
130,14,82
131,10247,25
132,3544,90
133,5073,98
134,6149,29
135,7863,67
136,14,32
137,10247,89
138,3544,11
139,5073,9
140,6149,45
141,7863,8
142,14,17
143,10247,72
144,3544,89
145,5073,63
146,6149,68
147,7863,23
148,14,52
149,10247,36
150,3544,17
151,5073,2
152,6149,71
153,7863,54
154,14,8
155,10247,5
156,3544,58
157,5073,5
158,6149,20
159,7863,29
160,14,60
161,10247,31
162,3544,59
163,5073,31
164,6149,29
165,7863,6
166,14,11
167,10247,9
168,3544,8
169,5073,5
170,6149,59
171,7863,66
172,14,55
173,10247,23
174,3544,12
175,5073,28
176,6149,34
177,7863,72
178,14,28
179,10247,84
180,3544,15
181,5073,80
182,6149,23
183,7863,16
184,14,5
185,10247,94
186,3544,4
187,5073,61
188,6149,50
189,7863,84
190,14,53
191,10247,21
192,3544,26
193,5073,50
194,6149,33
195,7863,65
196,14,69
197,10247,93
198,3544,29
199,5073,3
200,6149,49
201,7863,29
202,14,29
203,10247,97
204,3544,62
205,5073,12
206,6149,4
207,7863,13
208,14,33
209,10247,45
210,3544,28
211,5073,5
212,6149,33
213,7863,67
214,14,86
215,10247,51
216,3544,26
217,5073,13
218,6149,96
219,7863,25
220,14,81
221,10247,54
222,3544,87
223,5073,21
224,6149,46
225,7863,45
226,14,42
227,10247,81
228,3544,99
229,5073,14
230,6149,7
231,7863,9
232,14,16
233,10247,99
234,3544,2
235,5073,10
236,6149,22
237,7863,54
238,14,33
239,10247,14
240,3544,33
241,5073,74
242,6149,36
243,7863,40
244,14,52
245,10247,6
246,3544,65
247,5073,4
248,6149,83
249,7863,31
250,14,10
251,10247,14
252,3544,2
253,5073,74
254,6149,21
255,7863,62
256,14,19
257,10247,11
258,3544,93
259,5073,58
260,6149,83
261,7863,4
262,14,66
263,10247,40
264,3544,30
265,5073,15
266,6149,32
267,7863,20
268,14,33
269,10247,7
270,3544,33
271,5073,26
272,6149,90
273,7863,16
274,14,63
275,10247,15
276,3544,85
277,5073,87
278,6149,5
279,7863,13
280,14,6
281,10247,1
282,3544,76
283,5073,43
284,6149,62
285,7863,1
286,14,96
287,10247,56
288,3544,32
289,5073,62
290,6149,28
291,7863,87
292,14,21
293,10247,15
294,3544,39
295,5073,56
296,6149,18
297,7863,3
298,14,9
299,10247,7
300,3544,56
301,5073,44
302,6149,7
303,7863,38
304,14,8
305,10247,10
306,3544,88
307,5073,63
308,6149,57
309,7863,20
310,14,90
311,10247,49
312,3544,11
313,5073,26
314,6149,43
315,7863,8
316,14,1
317,10247,11
